category,title,template_text,example_evidence_hint,applicable_def_categories,code_version,is_active
PMS_OVERDUE,PMS task overdue - scheduling oversight,"The planned maintenance task was not completed on time because it was not picked up during weekly job planning. The responsible officer was occupied with higher-priority operational work and the PMS due-list was not reviewed before the deadline. Root cause: no formal weekly check of the PMS overdue-task list.",Attach a screenshot of the PMS due-task list showing the overdue items and their original due dates.,PMS,RCA-TPL-2026.1,1
PMS_OVERDUE,PMS task overdue - spare parts not available,"The maintenance task could not be carried out on schedule because the required spare part was not on board. The requisition was raised late and delivery did not reach the vessel before the task fell due. Root cause: spare-part lead time not factored into PMS scheduling.",Attach the requisition reference and the delivery / port-call dates.,PMS,RCA-TPL-2026.1,1
TRAINING_GAP,Training matrix gap - drill not recorded,"The required drill was conducted on board but the record was not entered into the training matrix in time. Crew completed the activity but documentation lagged. Root cause: no routine check that drill records are filed immediately after the drill.",Attach the drill record / logbook entry and the training matrix showing the gap.,TRAINING,RCA-TPL-2026.1,1
TRAINING_GAP,Training matrix gap - new joiner familiarisation,"A newly joined crew member did not receive the full familiarisation training within the required period. The handover was rushed during a busy port call and some items were missed. Root cause: familiarisation checklist not completed and signed off before the joiner took up duties.",Attach the familiarisation checklist for the crew member.,TRAINING,RCA-TPL-2026.1,1
TRAINING_GAP,Competency gap - procedure not understood,"The crew member was not fully aware of the correct procedure because refresher training had not been provided. The task was performed from memory rather than the controlled procedure. Root cause: no periodic refresher training scheduled for this procedure.",Attach the training matrix and the relevant procedure reference.,TRAINING,RCA-TPL-2026.1,1
CERT_EXPIRED,Certificate renewal missed - tracking gap,"The certificate lapsed because its expiry was not tracked against an alert. The renewal survey was not arranged with Class in time. Root cause: certificate not on the monitored renewal list / no advance reminder.",Attach the certificate showing the expiry date and any renewal correspondence.,CERT_DOC,RCA-TPL-2026.1,1
CERT_EXPIRED,Crew certificate expired - matrix not monitored,"A crew member's statutory certificate expired while on board because the crew-certificate matrix was not reviewed before the expiry date. Root cause: no advance check of expiring crew certificates during crew planning.",Attach the crew certificate matrix highlighting the expired item.,CERT_DOC,RCA-TPL-2026.1,1
DOC_CONTROL,Document not in latest revision,"The procedure in use on board was a superseded revision. The latest revision was issued by the office but not distributed / replaced on board. Root cause: document-control distribution step not completed and not verified.",Attach the document showing the revision in use vs the current controlled revision.,DOC_CONTROL,RCA-TPL-2026.1,1
DOC_CONTROL,Record not maintained as required,"The required record was not maintained at the prescribed interval. The task was done but the entry was not made because the form was not readily available. Root cause: form not located at the point of work / no prompt to record.",Attach the incomplete record and the relevant procedure.,DOC_CONTROL,RCA-TPL-2026.1,1
DOC_CONTROL,MARPOL log entry missing,"A required entry in the statutory record book was not made at the time of the operation. The operation was carried out correctly but the entry was overlooked. Root cause: no immediate-entry discipline / entry deferred and forgotten.",Attach the record book page showing the missing entry.,ENV_MGMT,RCA-TPL-2026.1,1
EQUIPMENT_FAILURE,Equipment defect - not reported promptly,"The equipment defect existed before the audit but had not been reported through the defect-reporting system. The crew were aware but treated it as minor. Root cause: defect-reporting threshold not understood / defect not logged.",Attach a photo of the defect and the defect log.,SAFETY_EQUIP,RCA-TPL-2026.1,1
EQUIPMENT_FAILURE,Safety equipment overdue for test,"The safety equipment item was overdue for its periodic test. The test schedule was not followed because the due date was not flagged. Root cause: test due-date not tracked against an alert.",Attach the equipment test record showing the last test date.,SAFETY_EQUIP,RCA-TPL-2026.1,1
EQUIPMENT_FAILURE,Fire-fighting equipment overdue,"A fire-fighting appliance was found overdue for service / inspection. The servicing was not arranged at the appropriate port. Root cause: servicing not planned against the appliance's due date.",Attach the fire equipment inspection record.,SAFETY_EQUIP,RCA-TPL-2026.1,1
PROCEDURE_NOT_FOLLOWED,Procedure not followed - permit to work,"The work was carried out without completing the permit-to-work as required. The crew judged the task to be routine. Root cause: permit-to-work scope not clearly understood / supervision gap.",Attach the work record and the permit-to-work procedure.,SMS_IMPL,RCA-TPL-2026.1,1
PROCEDURE_NOT_FOLLOWED,Procedure not followed - risk assessment,"A risk assessment was not carried out before a non-routine task. The task proceeded on the basis of past practice. Root cause: trigger for raising a risk assessment not recognised.",Attach the task record and the risk-assessment procedure.,SMS_IMPL,RCA-TPL-2026.1,1
PROCEDURE_NOT_FOLLOWED,Checklist not completed before operation,"The required pre-operation checklist was not completed before the operation began. Time pressure during the port call led to the step being skipped. Root cause: checklist treated as paperwork rather than an operational control.",Attach the blank / partially completed checklist.,NAV,RCA-TPL-2026.1,1
COMMUNICATION_BREAKDOWN,Ship-office communication gap,"A required notification to the office was not sent in time. The responsible officer assumed another department had reported it. Root cause: unclear ownership of the reporting responsibility.",Attach the relevant correspondence / communication log.,SMS_IMPL,RCA-TPL-2026.1,1
COMMUNICATION_BREAKDOWN,Handover information not passed on,"Key information was not passed on during a watch / crew handover. The handover was verbal and incomplete. Root cause: handover not documented against a structured handover format.",Attach the handover note / logbook entry.,NAV,RCA-TPL-2026.1,1
RESOURCE_CONSTRAINT,Workload prevented timely completion,"The task was not completed on time because the responsible crew were engaged in cargo / port operations. The competing demands were not escalated. Root cause: workload conflict not identified and not escalated to the Master.",Attach the work / port-operation log for the period.,SMS_IMPL,RCA-TPL-2026.1,1
RESOURCE_CONSTRAINT,Reduced manning affected task completion,"The required task was delayed because the vessel was operating with reduced manning during a crew-change gap. The shortfall was not planned around. Root cause: critical tasks not re-prioritised for the reduced-manning period.",Attach the crew list for the period showing the manning level.,TRAINING,RCA-TPL-2026.1,1
EXTERNAL_FACTOR,Weather / port conditions prevented task,"The scheduled activity could not be carried out because of adverse weather or port restrictions. No alternative arrangement was made when conditions cleared. Root cause: no follow-up plan to complete the task once the external constraint lifted.",Attach the weather log / port record for the period.,PMS,RCA-TPL-2026.1,1
EXTERNAL_FACTOR,Shore service not delivered as arranged,"A shore-side service (survey, servicing, supply) was not delivered as arranged at the port. The vessel was not informed of the change. Root cause: no confirmation of the shore arrangement before arrival.",Attach the service order and port-call correspondence.,CERT_DOC,RCA-TPL-2026.1,1
PROCEDURE_NOT_FOLLOWED,GMDSS / radio test overdue,"The required GMDSS / radio equipment test was not performed at the prescribed interval. The test schedule was not followed. Root cause: test routine not embedded in the daily / weekly checks.",Attach the radio log showing the last test.,NAV,RCA-TPL-2026.1,1
EQUIPMENT_FAILURE,ECDIS chart / software update overdue,"The ECDIS charts or software were not updated within the required period. The update was received but not applied. Root cause: update-application step not part of a tracked routine.",Attach the ECDIS update status screen.,NAV,RCA-TPL-2026.1,1
OTHER,Other - describe the specific situation,"Describe what happened in plain language, then ask 'why' until the underlying cause is clear. Focus on the system or process that allowed the problem, not on blaming an individual. State the root cause in two to four sentences.",Attach any evidence that shows the problem and its cause.,,RCA-TPL-2026.1,1
