checklist_code,location_code,item_code,question,guideline,regulation_ref,ksm_sms_ref,ship_type,sequence_no
F605,10,1100,"Crew Management (Qualification)
Do all Deck and Engineer Officers hold valid licenses issued by flag state?
Do their licenses also meet requirements specified in STCW 1978 as amended?","<Check point>
Ask Master.  If necessary, ask him to produce original certificates.
Confirm them with License List.","STCW
II/1
III/1",HRM 3.4,Common,1
F605,10,1101,"Crew Management (Qualification)
Are medical certificates  of the  crew valid?","<Check point>
Check expiry dates of certificates.","STCW
I/9
MLC 1.2",HRM 4.1.3.6,Common,2
F605,10,1102,"Crew Management (Qualification)
Does the Master understands well the terms and conditions of C/P, hull insurance, P&I policies, etc.?","<Check point>
Ask the Master about speed and fuel consumption specified by C/P, deductibles under Insurance coverage, List of Correspondents, Hull Insurance, or P&I insurance policie",,,Common,3
F605,10,1200,"Crew Management (Training)
Is there a procedure for familiarization for new personnel and effectively completed for all staff?","<Check point>
Record of HRM S 523 Familiarisation on board checklist for new personnel shall be verified Check record for dates of completion to be consistent.",SOLAS III-19.4.1,"Rightship 11.12
HRM 4.8",Common,4
F605,10,1201,"Crew Management (Training)
Did the Master and Chief Engineer receive briefing from Company before boarding vessel?","<Check point>
Both received briefing from Company before boarding vessel. If  not received, enter N/A and so write in column.
<Annotation>
Note: Briefing items must include at least the following items:
- Recent SMS revisions
- Instructions recently issued by the Company
- Information on accidents that recently occurred
- Relevant instructions and recommendations from KSM",,HRM 4.5,Common,5
F605,10,1202,"Crew Management (Training)
If the vessel is equipped with an Electronic Chart Display and Information System （ECDIS）, as stated on the Form E of the SEC,  have the Master and Deck officers’ complete Generic and type specific familiarization on the system fitted onboard?
Is ECDIS on board familiarization has been undertaken?","<Check point>
Check by asking Master, officers.

If SAFEQUIP Cert Form ""E"" shows ECDIS as primary means of navigation, then all deck officers MUST be in possession of Generic (IMO Model course 1.27)
Check if Master has issued instructions for minimum safety settings (Alarm) for following
i)           Cross Track Error
ii)          Safety Depth
iii)        Safety Contour
iv)        Shallow and Deep Contour
and how are these being adhered to by OOWs.
<Annotation>
Type specific training is not mandatory, but required for RIGHTSHIP inspection.
Notes: ECDIS phase in started on 1st July 2012 for new tankers, 1st July 2015 existing tankers. If ECDIS is fitted, either single ECDIS or duplicate for redundancy purposes and being used for navigation but paper charts are retained as the primary source of navigation, then all watch keeping officers must have both generic training and type specific familiarization as accepted  by the vessels flag. (Type specific familiarization is not required if the Generic training was conducted on the same unit as fitted on board).
If the vessel is fitted with an ECDIS system that is not fully compliant with respect to redundancy etc. and the primary source of navigation is paper charts, then all watchkeeping officers must have generic training.
Each deck watchkeeper must be in possession of an ECDIS Generic Training certificate. This Generic training must have taken place at an establishment approved by the Flag Administration, address the subjects set out in, and fully address each of the topics contained in the IMO Model Course 1.27, (The operational use of Electronic Chart Display and Information Systems （ECDIS）). An ECDIS Generic Training Certificate conducted on the 2010 syllabus is acceptable.
If the equipment on board is of a different type (manufacturer) to which the generic training was undertaken, then evidence of familiarization of the actual equipment fitted on board should
be provided. The document ""ECDIS - Industry Recommendations for ECDIS Familiarization"" (Published by the Nautical Institute) or an equivalent produced by the manager should be completed to demonstrate such familiarization. Record in comments the nature of and duration of such familiarization. If only one ECDIS fitted and paper charts are also provided record which is the primary source of navigation and which is the backup.","STCW 7
/Circ.24. dated on 6 February 2017",HRM 3.0 ANNEX 1 Rightship 3.11,Common,6
F605,10,1203,"Crew Management (Training)
Are Officers familiar with all contents of SMS Manuals?","<Check point>
Check during audit level of familiarity of Officers with contents of SMS Manuals.",,,Common,7
F605,10,1204,"Crew Management (Training)
Is regular training in the use of life-saving equipment being undertaken and are crew familiar with those requirements and the location / contents of the training manuals?
On board training in the use of davit-launched life rafts shall take place at intervals of not more than four months on every ship fitted with such appliances. (SOLAS III/19.4.3)","<Check point>
Review regular training record HRM S 527 of LSA for crew.
For example: donning of immersion suits, starting L/B engine etc.
<Annotation>
Instructions in the use of the ship’s fire extinguishing appliances, life-saving appliances and in survival at sea shall be given at the same interval as the drills. Individual instruction may cover different parts of the ship’s life-saving and fire-extinguishing appliances, but all shall be covered within any period of two months. (SOLAS III/19.4.1)
Every crew member shall be given instructions which shall include but not necessarily be limited to:
1. Operation and use of the ship’s inflatable life rafts;
2. Problems of hypothermia, first-aid treatment for hypothermia and other appropriate first-aid procedures;
3. Special instructions necessary for use of the ship’s life-saving appliances in severe weather and severe sea conditions; and,
4. Operation and use of fire-extinguishing appliances. (SOLAS III/19.4.2)
As far as is reasonable and practicable, rescue boats other than lifeboats which are also rescue boats, shall be launched each month with their assigned crew aboard and maneuvered in the water. In all cases this requirement shall be complied with at least every three months. (SOLAS III/19.3.3.6)",SOLAS III/19.3.3.6 III/19.4.1 III/19.4.2 III/19.4.3,HRM 15.5.2                            SSQE 8.0,Common,8
F605,10,1205,"Crew Management (Training)
Have all deck officers attended either a Bridge Resource Management, or Bridge Team Management course?
Has the Master been provided with relevant ship handling training?","<Check point>
Check by asking Master, officers.
 Training certificate as per IMO model course 1.22
<Annotation>
Note: These should be formal shore-based courses of at least three days duration and officers should have evidence of having attended them.
A Master must have attended a ship handling course or have sufficient practical experience. RIGHTSHIP - less than 4 years experience","STCW
Code Part B Section B- V/a","Rightship 3.4
HRM  3.0 ANNEX I",Common,9
F605,10,1300,"Crew Management (Duties Assigned)
Does the manning level meet or exceed that required by the Minimum Safe Manning Certificate?","<Check point>
Review that actual number of seafarers on board exceed MSMC requirements considering following factors while ensuring no violation of rest hours
1. Trade of vessel
2. Level of persons required for
a. Cargo operations
b. Mooring/ Unmooring operations
c. Navigation in confined waters, heavy traffic, restricted, visibility, heavy weather etc.
Check Blue Certificate, if necessary. However, even if the vessel does not have BC, it does not make Finding.","IMO Res A.890(21)
ISPS Code B 4.28",,Common,10
